ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
525,2.8367346938775505e-06,5.408163265306123,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,2.0171141624450684,9505,4.4813789169034346e-07,3514.888022517806,3.385114644573979e-19,1.4918887784994285e-08,0.0,2587812.831563887,True,False,True,False,no_excitation,NH3,1.5341524364847978e-05,0.0,303.15,0.0,2.001512903608508e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.671709678695028e-07,2.836726855393392e-06,-8.352367191472412e-15,303.1500000000188,3.540235981840029e-09,0.00031659509760895827,1.3282608241870847e-13,1.799106772154845e-25,-1.9045195690943797e-21,6.456073311827608e-12,6.130747285169526e-24,1.4155161209100615e-16,3.709584803711997e-12,4.3911339941388923e-17,5.949183728163686e-24,0.00010553169414221707
523,2.8367346938775505e-06,5.040816326530613,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,2.1611759662628174,9233,4.182063651432245e-07,3298.1706967007067,9.521767508311851e-20,1.1996836865811112e-08,0.0,7398079.201334987,True,False,True,False,no_excitation,NH3,1.4299458558933777e-05,0.0,303.15,0.0,2.4717534917902196e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.239178305967398e-07,2.8367326302359117e-06,-1.1402351621549033e-14,303.1500000000153,9.958037352804868e-10,0.0003165969734761738,3.428126390262134e-13,8.771409313741813e-21,1.5357930409830942e-19,2.5748249088347887e-12,1.5826038712368134e-23,6.790453229079382e-16,1.1643983786765235e-11,-1.9119683494509536e-14,-1.0716112529457255e-18,0.00010553231745231031
527,2.8367346938775505e-06,5.775510204081633,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,1.8813421726226807,9449,4.781521677014355e-07,3709.9898942257073,9.210622195929652e-19,1.8268557899859862e-08,0.0,1164622.278360147,True,False,True,False,no_excitation,NH3,1.638359017076218e-05,0.0,303.15,0.0,1.6433751271858243e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.477917090619414e-07,2.83671301532198e-06,-1.253129548652564e-14,303.15000000002846,9.63283575612749e-09,0.00031659060156823365,2.824166851989613e-13,3.8791092754350033e-25,2.2634490721383752e-21,7.738094148115867e-12,1.3034431021030708e-23,2.1634027243702324e-16,2.7001266461557817e-12,3.1962976980991184e-17,2.9484659620619072e-24,0.00010553019535060912
526,2.8367346938775505e-06,5.591836734693878,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,2.1596391201019287,9527,4.631361438223018e-07,3614.976742929576,5.714995136305199e-19,1.6538481100929432e-08,0.0,1699219.7704070762,True,False,True,False,no_excitation,NH3,1.586255726780508e-05,0.0,303.15,0.0,1.8106909362899358e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.035636454299786e-07,2.836721316730939e-06,-9.817090151266328e-15,303.1500000000208,5.976917195684698e-09,0.00031659329985066946,-1.0724293777266328e-13,2.3464510597862322e-25,9.664261747293833e-20,7.019089171174226e-12,-4.949723702383053e-24,1.1320585456168884e-16,3.0297751216651427e-12,3.5867017517317807e-17,5.005472791180328e-26,0.00010553109490785586
528,2.8367346938775505e-06,5.959183673469388,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,2.1804022789001465,9402,4.93183651209028e-07,3800.472948195869,1.433095584711231e-18,2.0112699616679607e-08,0.0,824071.7109212669,True,False,True,False,no_excitation,NH3,1.6904623073719283e-05,0.0,303.15,0.0,1.4960546618470193e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.986848872823398e-07,2.8367008478524456e-06,-1.3218889258293152e-14,303.15000000003005,1.4988077608697427e-08,0.0003165866496760687,3.679527312127458e-13,6.228494074437014e-24,1.3533895414787018e-21,8.306476773099844e-12,1.6960883792514455e-23,4.3294211582963126e-16,2.526520119468148e-12,2.7581551432116925e-17,5.581630281425769e-17,0.00010552887786998327
529,2.8367346938775505e-06,6.142857142857143,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,2.258404493331909,9876,5.082286194072839e-07,3887.127505197406,2.168106268730323e-18,2.2074489565798616e-08,0.0,597833.0234641614,True,False,True,False,no_excitation,NH3,1.7425655976676383e-05,0.0,303.15,0.0,1.3658296280278926e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.552765426759642e-07,2.836683422494063e-06,-1.3404695885769726e-12,303.1500000024693,2.2675629051369205e-08,0.00031658104753927186,-5.0459068180774175e-11,9.005733292312564e-25,1.5856665839420247e-21,-6.178790923208974e-11,-2.3287624007974075e-21,-3.010785678579188e-15,2.4759087458887025e-12,2.930903159814974e-17,7.425568265880027e-27,0.00010552703709356297
531,2.8367346938775505e-06,6.510204081632653,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,1.985574722290039,9750,5.38352668300132e-07,4051.9962018953074,4.637951936159488e-18,2.63653555184707e-08,0.0,333792.96898746706,True,False,True,False,no_excitation,NH3,1.8467721782590586e-05,0.0,303.15,0.0,1.1474240988855683e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.824746996285228e-07,2.8366245853250965e-06,-1.0620099054924471e-14,303.1500000000306,4.8510086206491826e-08,0.00031656191414791045,1.2909462502688776e-13,1.9265323843369123e-24,3.9262651708292994e-21,8.073579382725743e-12,5.9576676343708176e-24,4.944755301105509e-15,2.96641868413539e-12,3.5115718008770693e-17,1.5742643216671193e-23,0.00010552063254914904
533,2.8367346938775505e-06,6.877551020408164,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,2.0372731685638428,9627,5.685139225209182e-07,4209.529906528909,9.201665461437695e-18,3.116985219548747e-08,0.0,198901.51875494694,True,False,True,False,no_excitation,NH3,1.950978758850479e-05,0.0,303.15,0.0,9.732094414220864e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2440314714069546e-07,2.836515890653241e-06,-1.943454464884452e-14,303.15000000003806,9.625474944651781e-08,0.00031652669825314993,5.781529107393117e-13,3.823002146317506e-24,1.218824319275718e-20,-3.297279412719095e-11,2.6682339207533603e-23,1.9765002287933777e-14,5.78924090556487e-12,6.853128083391261e-17,-2.5372867719677862e-24,0.00010550891309921957
532,2.8367346938775505e-06,6.6938775510204085,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,2.095975637435913,9757,5.534291741374915e-07,4131.504314460333,6.589614475846728e-18,2.8701605707609916e-08,0.0,255750.20070278525,True,False,True,False,no_excitation,NH3,1.8988754685547686e-05,0.0,303.15,0.0,1.0555394879422493e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.518464959807497e-07,2.836578272368152e-06,-8.983918709919448e-15,303.14999999999435,6.892663580763486e-08,0.0003165468585285748,2.990617170312474e-12,2.739423438363572e-24,1.009981731759691e-20,-2.671998722111945e-11,1.380157664372143e-22,4.701351661076317e-15,3.89187516672846e-12,4.607099935682276e-17,1.6506936946067264e-23,0.00010551563142041943
534,2.8367346938775505e-06,7.061224489795919,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,2.1308071613311768,9798,5.836060404783505e-07,4286.12962842288,1.264128808135261e-17,3.377368493128661e-08,0.0,156876.14741213195,True,False,True,False,no_excitation,NH3,2.003082049146189e-05,0.0,303.15,0.0,8.992236483959894e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.997412161319965e-07,2.836434038151887e-06,-1.1535711203562833e-14,303.1500000000288,1.3224664222605348e-07,0.00031650012375517776,4.2286273992339395e-16,5.131937320673176e-24,2.920489192923629e-21,8.188725976097919e-12,1.951722218021199e-26,5.192233367477288e-14,9.442952283570721e-12,1.1178267311928224e-16,-5.89591481542362e-22,0.00010550003241857519
