ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,rho_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
24,0.0001326614527572595,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.35504698753356934,6950,3.353182134037656e-05,889.1247816657947,3.4886318451333035e-43,0.0,2.696398962835745e-06,4.538358579252927e+32,True,False,True,True,sin_impulse,NH3,-555448.5508621546,58068.50198462742,1.0,0.0001326614527572595,0.0,293.15,0.0,1.5923071190020906e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3076903966736355e-06,0.0001326614652761473,-1.3053650640155491e-20,293.15,3.567238626094976e-38,1.592307115851481e-05,7.64807306349387e-24,-2.7815363347031487e-39,-3.8637383619003426e-49,3.0792245815992292e-55,2.232064741857753e-34,-1.9130774229751595e-43,8.134148273332309e-33,-6.651617664273722e-30,-2.9976056689384714e-31,5.307690386171563e-06
31,0.00034766453205836565,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.18558645248413086,3456,8.090861337527491e-05,321.20306355927653,3.680786325882546e-36,0.0,5.044417685611246e-07,8.047115393711054e+24,True,False,True,True,sin_impulse,NH3,-297202.43124698405,61071.49947823253,1.0,0.00034766453205836565,0.0,293.15,0.0,1.5716600523956063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.238866841318687e-06,0.0003476645316924746,5.3801460467807e-20,293.15,2.091080910147254e-32,1.5716600524090155e-05,6.366400147075032e-25,-6.838694441710898e-49,-7.032612180575902e-58,2.2436287745297863e-69,1.8339203501366472e-35,-2.128961193863113e-56,-8.205309100678349e-34,-1.6518755032146376e-30,-4.925188811288437e-32,5.238866841363367e-06
32,0.00023829419552405745,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.18114256858825684,3332,5.481304804914472e-05,344.81482420307594,-2.8491823767327695e-35,0.0,5.880412625038572e-07,1e+30,True,False,True,True,sin_impulse,NH3,-513203.08648292685,83382.32681545556,1.0,0.00023829419552405745,0.0,293.15,0.0,1.577507206128373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.258357353761243e-06,0.00023829419479067722,1.7802059355700766e-20,293.15,-5.026795908281323e-31,1.5775072061855724e-05,1.2948007673389605e-25,-1.554333099348495e-49,-2.159819484521588e-58,3.8143420098796835e-68,3.743710203698455e-36,-1.2483200977742517e-56,-2.747466049527305e-34,-3.818714049595123e-31,-1.138627637889767e-32,5.258357353951959e-06
1,9.037497188267574e-05,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.47543811798095703,8776,2.5158056369005155e-05,1079.5805091020964,6.087540826089797e-37,0.0,1.1643288640558992e-06,1.1230615878939662e+26,True,False,True,True,sin_impulse,NH3,-452653.480307267,67506.41198844259,1.0,9.037497188267574e-05,0.0,293.15,0.0,1.6079287881293456e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.359762627097819e-06,9.037498509743465e-05,7.027840695680094e-21,293.15,1.9688315556936758e-31,1.607928780963262e-05,1.2280222334315762e-20,-7.88810741423342e-39,-3.9391182401016194e-44,1.413470696723277e-45,3.6191031547043975e-31,-4.5858046303480705e-37,-4.256085209784953e-29,-1.1789834817496841e-28,-4.916793195660299e-30,5.359762603210912e-06
30,0.00017256560752707754,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.31433820724487305,5912,5.4768820078889286e-05,749.7297778288013,-4.2303928904998524e-44,0.0,4.172748785627603e-06,1e+30,True,False,True,True,sin_impulse,NH3,-178979.64039345575,26759.250054593696,1.0,0.00017256560752707754,0.0,293.15,0.0,1.5845867521477677e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2819558404925584e-06,0.0001725656174241336,6.852084709790189e-21,293.15,-1.965301951300251e-39,1.5845867506757386e-05,4.583380002733143e-25,-7.16367079662402e-42,-8.782033011494959e-51,2.5299850643188485e-58,1.3311586209162195e-35,-4.090205744005692e-46,6.508161608310348e-33,-3.725995254172452e-29,-3.422167368326307e-30,5.281955835585801e-06
33,0.00018456161865153703,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.22258305549621582,4206,4.454584355682872e-05,438.21370813798995,-1.2135778974952934e-47,0.0,1.3303352669738675e-06,1e+30,True,False,True,True,sin_impulse,NH3,-440190.9462414011,63028.846158432,1.0,0.00018456161865153703,0.0,293.15,0.0,1.582918506349832e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.276395021166106e-06,0.00018456161814080295,-4.201376352524013e-20,293.15,-4.60845001453797e-43,1.582918506416244e-05,7.099971363361659e-23,-1.188847508475783e-45,-1.2574873633787295e-53,-7.0856096076228065e-62,2.0598854827373812e-33,3.558949582323079e-49,1.5906775374216144e-33,-1.0397633726361368e-28,-3.027918685086647e-30,5.27639502138745e-06
36,0.00037640214760839666,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.24484848976135254,4359,8.479489788504431e-05,363.41060468912985,-5.805075951222434e-49,0.0,2.8091213945421267e-06,1e+30,True,False,True,True,sin_impulse,NH3,-538887.7850880639,51172.60752045005,1.0,0.00037640214760839666,0.0,293.15,0.0,1.5706874013331075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.235624671110358e-06,0.0003764021462469876,-6.681906902891767e-19,293.15,-2.5987411514964374e-45,1.570687401375666e-05,7.727078953580302e-23,-7.74088482643259e-47,-5.127126083447695e-55,-3.5336285107442274e-63,2.2245031918615753e-33,-5.904818749206448e-53,-4.759832575127645e-31,-1.839640868524344e-28,-5.464481723775813e-30,5.235624671252243e-06
40,0.00022000801700179762,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.1786205768585205,3435,5.192948824808451e-05,344.15687539279656,-2.066423730742275e-53,0.0,4.807823186936549e-07,1e+30,True,False,True,True,sin_impulse,NH3,-405522.78868147987,79077.8375697591,1.0,0.00022000801700179762,0.0,293.15,0.0,1.5790520685168592e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263506895056196e-06,0.0002200080163953865,1.400032841254406e-20,293.15,-4.63249815514588e-49,1.579052068572349e-05,1.8938765984260113e-26,-2.4567726075321837e-50,4.6724048709052e-62,-3.932545231769956e-71,5.481205083984228e-37,1.0909201882293216e-60,-5.245447409596265e-38,-6.040040834587914e-32,-1.8008974825669718e-33,5.263506895241154e-06
39,0.0003944776983627965,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.2522850036621094,4787,8.811616241696624e-05,370.22182738452284,-6.515076639664164e-51,0.0,3.6463657537849002e-06,1e+30,True,False,True,True,sin_impulse,NH3,-577827.4705788144,48939.53536393429,1.0,0.0003944776983627965,0.0,293.15,0.0,1.5701482188113373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.233827396037792e-06,0.0003944776968356969,7.004177471197723e-20,293.15,-2.533748810897549e-47,1.5701482188548026e-05,4.163638360340384e-25,-4.850410604102222e-49,2.186852348683324e-60,8.803956199481407e-69,1.1982338251460153e-35,-1.7521084812783945e-57,1.4818123536465492e-35,-1.1006611574527772e-30,-3.27777088481131e-32,5.233827396182673e-06
34,0.00019194921488501155,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.4891386032104492,8945,5.957313162546472e-05,1437.469331292379,-3.507509974972526e-27,0.0,1.4667017673441207e-05,1e+30,True,False,True,True,sin_impulse,NH3,-365805.58479758236,25462.470474764694,1.0,0.00019194921488501155,0.0,293.15,0.0,1.5819948844207064e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.273316281402355e-06,0.00019194924520120652,-5.5928329205759226e-18,293.15,-1.1839983016359195e-22,1.5819948804967674e-05,3.1952166058253348e-15,-7.300913694803328e-36,-7.364426097233124e-27,-2.4781032046415387e-27,9.264741395357652e-26,5.918699375673102e-23,6.715409402516176e-24,3.6425205202355508e-31,2.6270384237320916e-26,5.273316268855124e-06
